n (Clientes),X_0,R,X Otimista,X Pessimista,R Otimista,R Pessimista
1,0.07816316560820713,0.7937500000000011,0.07816316560820713,0.07816316560820713,0.79375,0.79375
2,0.15607689999214897,0.8141960796287258,0.15632633121641426,0.14719411223551057,0.79375,1.5875
3,0.23372108363162103,0.8358124709384089,0.23448949682462142,0.20860495436766624,0.79375,2.3812499999999996
4,0.31107334810037685,0.8587036608140526,0.3126526624328285,0.26359143327841844,0.79375,3.175
5,0.38810876849484066,0.8829864354545442,0.3908158280410357,0.3131115459882583,0.79375,3.96875
6,0.4647995089688454,0.9087916063228203,0.46897899364924284,0.3579418344519016,0.79375,4.762499999999999
7,0.5411144141808739,0.9362660031823999,0.5471421592574499,0.3987184051263795,0.79375,5.5562499999999995
8,0.6170185385816949,0.9655747757419757,0.625305324865657,0.435967302452316,0.79375,6.35
9,0.692472604624222,0.9969040506432023,0.7034684904738643,0.4701273261508325,0.79375,7.14375
10,0.7674323802560205,1.030463995621263,0.7816316560820714,0.5015673981191222,0.79375,7.9375
11,0.8418479656027168,1.0664923471361067,0.8597948216902785,0.5305999397045523,0.79375,8.73125
12,0.9156629787867573,1.1052584608147633,0.9379579872984857,0.5574912891986064,0.79375,9.524999999999999
13,0.9888136316734996,1.1470679444400336,1.0161211529066927,0.5824698963875665,0.79375,10.31875
14,1.0612276884593594,1.192267929160936,1.0942843185148998,0.6057328285559763,0.79375,11.112499999999999
15,1.1328233040638214,1.2412530234767534,1.172447484123107,0.6274509803921569,0.79375,11.90625
16,1.2035077461413985,1.2944719726965364,1.250610649731314,0.6477732793522267,0.79375,12.7
17,1.2731760153518852,1.352435008997146,1.3287738153395212,0.6668301054179946,0.79375,13.493749999999999
18,1.341709394778758,1.4157218172927237,1.4069369809477286,0.6847360912981455,0.79375,14.2875
19,1.4089739827976053,1.4849899515350309,1.4851001465559357,0.7015924301869375,0.79375,15.081249999999999
20,1.4748192961339293,1.5609834048332036,1.5632633121641428,0.7174887892376681,0.79375,15.875
21,1.539077072989651,1.6445408540896427,1.64142647777235,0.7325049051667757,0.79375,16.66875
22,1.6015604608342262,1.7366028557801467,1.719589643380557,0.7467119219346627,0.79375,17.4625
23,1.6620638387874496,1.838216958489113,1.7977528089887642,0.7601735178682091,0.79375,18.256249999999998
24,1.7203635961204247,1.9505393244324445,1.8759159745969713,0.7729468599033817,0.79375,19.049999999999997
25,1.7762202564969753,2.0748310399885206,1.9540791402051785,0.7850834151128557,0.79375,19.84375
26,1.8293823847490829,2.2124468983373013,2.0322423058133854,0.7966296438146303,0.79375,20.6375
27,1.8795927125777128,2.364814153259637,2.1104054714215925,0.807627593942793,0.79375,21.43125
28,1.926596836344621,2.5333987224463,2.1885686370297996,0.8181154127100074,0.79375,22.224999999999998
29,1.9701546353373702,2.719656761883579,2.2222222222222223,0.8281277886846333,1.0500000000000007,23.018749999999997
30,2.010054202319867,2.92497066266972,2.2222222222222223,0.837696335078534,1.5,23.8125
